#t                         ExternalField.h_x         ExternalField.h_y         ExternalField.h_z         m_x                       m_y                       m_z                   
+4.099999895146311e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.209577700000000e+07    -9.573996040401767e-10    -2.384185904258374e-10    +7.987512350082397e-01
+4.199999903420348e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.145915700000000e+07    -1.415610406674261e-09    -9.536743617033494e-10    +7.981962561607361e-01
+4.299999911694385e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.082253700000000e+07    -2.346932925778589e-10    -1.430511487043873e-09    +7.965649962425232e-01
+4.399999919968423e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.018591700000000e+07    -1.162290597100935e-09    -1.192092952129187e-10    +7.922203540802002e-01
+4.499999928242460e-09    +0.000000000000000e+00    +0.000000000000000e+00    +9.549298000000000e+06    -1.192092979884762e-09    -2.086162576020456e-09    +7.861925363540649e-01
+4.599999936516497e-09    +0.000000000000000e+00    +0.000000000000000e+00    +8.912677000000000e+06    -1.430511487043873e-09    -7.152557435219364e-10    +7.782329320907593e-01
+4.699999944790534e-09    +0.000000000000000e+00    +0.000000000000000e+00    +8.276057500000000e+06    -1.192092979884762e-09    -1.907348723406699e-09    +7.692467570304871e-01
+4.799999953064571e-09    +0.000000000000000e+00    +0.000000000000000e+00    +7.639437500000000e+06    -2.145767341588112e-09    -2.145767341588112e-09    +7.593304514884949e-01
+4.899999961338608e-09    +0.000000000000000e+00    +0.000000000000000e+00    +7.002817500000000e+06    -3.576278828631985e-09    -4.649162388403738e-09    +7.455255389213562e-01
+4.999999969612645e-09    +0.000000000000000e+00    +0.000000000000000e+00    +6.366197000000000e+06    -3.814697446813398e-09    -4.768371919539049e-09    +7.246128320693970e-01
+5.099999977886682e-09    +0.000000000000000e+00    +0.000000000000000e+00    +5.729577000000000e+06    +0.000000000000000e+00    -2.503395268860231e-09    +7.000624537467957e-01
+5.199999986160719e-09    +0.000000000000000e+00    +0.000000000000000e+00    +5.092958500000000e+06    +0.000000000000000e+00    -4.053116064994811e-09    +6.730064749717712e-01
+5.299999994434756e-09    +0.000000000000000e+00    +0.000000000000000e+00    +4.456338500000000e+06    +2.384185904258374e-10    -6.198883184538317e-09    +6.436125636100769e-01
+5.400000002708794e-09    +0.000000000000000e+00    +0.000000000000000e+00    +3.819718250000000e+06    -4.291534683176224e-09    -5.006790537720462e-09    +6.107213497161865e-01
+5.500000010982831e-09    +0.000000000000000e+00    +0.000000000000000e+00    +3.183098000000000e+06    +1.192092979884762e-09    +2.980232449711906e-10    +5.693857669830322e-01
+5.600000019256868e-09    +0.000000000000000e+00    +0.000000000000000e+00    +2.546479250000000e+06    -7.629394893626795e-09    -4.112720830562466e-09    +5.075458288192749e-01
+5.700000027530905e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.909858125000000e+06    -1.001358107544092e-08    -2.264976650678818e-09    +4.065348207950592e-01
+5.800000035804942e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.273238125000000e+06    -4.291534683176224e-09    +1.907348723406699e-09    +2.792060077190399e-01
+5.900000044078979e-09    +0.000000000000000e+00    +0.000000000000000e+00    +6.366180000000000e+05    -1.955032402634060e-08    +8.106232129989621e-09    +1.437266916036606e-01
