#ExternalField.h_x         ExternalField.h_y         ExternalField.h_z         m_x                       m_y                       m_z                       unnamed               
+0.000000000000000e+00    +0.000000000000000e+00    -2.046050019967314e+06    -2.140998326990136e-02    -3.497132008935026e-02    +5.348298599785913e-01    +8.372849740838444e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.046847389421706e+06    -2.144024045760679e-02    -3.503392922130526e-02    +5.347317661213826e-01    +8.369507937743240e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.047644758876097e+06    -2.147071441945437e-02    -3.509712537354922e-02    +5.346329791651472e-01    +8.366139939012512e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.048442128330488e+06    -2.150140973511980e-02    -3.516092193338009e-02    +5.345334871903223e-01    +8.362745221631891e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.049239497784880e+06    -2.153233115000942e-02    -3.522533277652515e-02    +5.344332778960240e-01    +8.359323244466068e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.050036867239270e+06    -2.156348358375050e-02    -3.529037231293283e-02    +5.343323385768456e-01    +8.355873446902840e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.050834236693661e+06    -2.159487213878487e-02    -3.535605544289937e-02    +5.342306561196986e-01    +8.352395249415249e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.051631606148053e+06    -2.162674094654119e-02    -3.542279145979077e-02    +5.341279093154119e-01    +8.348871595908900e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.052428975602444e+06    -2.165862841815845e-02    -3.548982652268587e-02    +5.340246852258796e-01    +8.345334029988118e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.053226345056835e+06    -2.169076953357257e-02    -3.555755505783722e-02    +5.339206745772906e-01    +8.341766124752914e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.054023714511227e+06    -2.172316986030724e-02    -3.562599396356692e-02    +5.338158627902356e-01    +8.338167231911328e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.054821083965618e+06    -2.175583561262405e-02    -3.569516139101944e-02    +5.337102342535929e-01    +8.334536651874117e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.055618453420006e+06    -2.178877327052010e-02    -3.576507625158067e-02    +5.336037727711798e-01    +8.330873656858885e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.056415822874397e+06    -2.182198956589038e-02    -3.583575821898566e-02    +5.334964615657802e-01    +8.327177491165825e-01
