#t                         m_x                       m_y                       m_z                       ExternalField.h_x         ExternalField.h_y         ExternalField.h_z     
+0.000000000000000e+00    +0.000000000000000e+00    -7.146622168056566e-19    +9.999990769326309e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.802020202020202e+05
+0.000000000000000e+00    +0.000000000000000e+00    +2.870910228785469e-18    +9.999997925102931e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.806060606060607e+05
+0.000000000000000e+00    +0.000000000000000e+00    +2.715015774629332e-20    +9.999999866230878e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.810101010101011e+05
+0.000000000000000e+00    +0.000000000000000e+00    +3.728493941308004e-18    +9.999999998391361e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.814141414141415e+05
+0.000000000000000e+00    +0.000000000000000e+00    +3.656899769035237e-17    +9.999999999999422e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.818181818181819e+05
+0.000000000000000e+00    +0.000000000000000e+00    +4.436789418753044e-24    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.822222222222228e+05
+0.000000000000000e+00    +0.000000000000000e+00    -4.342694737134248e-21    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.826262626262626e+05
+0.000000000000000e+00    +0.000000000000000e+00    +4.575773183677839e-23    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.830303030303029e+05
+0.000000000000000e+00    +0.000000000000000e+00    +7.254150699661227e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.834343434343438e+05
+0.000000000000000e+00    +0.000000000000000e+00    +1.142205998857900e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.838383838383839e+05
+0.000000000000000e+00    +0.000000000000000e+00    -1.781691683394558e-21    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.842424242424240e+05
+0.000000000000000e+00    +0.000000000000000e+00    -5.788941085588686e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.846464646464649e+05
+0.000000000000000e+00    +0.000000000000000e+00    -8.219419674711024e-23    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.850505050505052e+05
+0.000000000000000e+00    +0.000000000000000e+00    -3.536401807040736e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.854545454545449e+05
+0.000000000000000e+00    +0.000000000000000e+00    -4.957818171338416e-21    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.858585858585860e+05
+0.000000000000000e+00    +0.000000000000000e+00    -4.957811489426641e-21    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.862626262626263e+05
+0.000000000000000e+00    +0.000000000000000e+00    +3.550955010887188e-21    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.866666666666666e+05
+0.000000000000000e+00    +0.000000000000000e+00    +1.247198878582096e-21    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.870707070707071e+05
+0.000000000000000e+00    +0.000000000000000e+00    +2.267774037395475e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.874747474747476e+05
+0.000000000000000e+00    +0.000000000000000e+00    -6.456063157227698e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.878787878787880e+05
+0.000000000000000e+00    +0.000000000000000e+00    +2.471061180289200e-21    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.882828282828282e+05
+0.000000000000000e+00    +0.000000000000000e+00    -6.232887303935000e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.886868686868693e+05
+0.000000000000000e+00    +0.000000000000000e+00    -6.232720256140618e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.890909090909091e+05
+0.000000000000000e+00    +0.000000000000000e+00    -6.232954123052752e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.894949494949493e+05
+0.000000000000000e+00    +0.000000000000000e+00    -6.232887303935000e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.898989898989903e+05
+0.000000000000000e+00    +0.000000000000000e+00    +4.511326144605740e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.903030303030303e+05
+0.000000000000000e+00    +0.000000000000000e+00    +6.603132035400521e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.907070707070704e+05
+0.000000000000000e+00    +0.000000000000000e+00    +6.603232264077149e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.911111111111114e+05
+0.000000000000000e+00    +0.000000000000000e+00    +6.603098625841645e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.915151515151516e+05
+0.000000000000000e+00    +0.000000000000000e+00    +6.603132035400521e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.919191919191920e+05
+0.000000000000000e+00    +0.000000000000000e+00    +6.603165444959397e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.923232323232323e+05
+0.000000000000000e+00    +0.000000000000000e+00    +6.603132035400521e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.927272727272727e+05
+0.000000000000000e+00    +0.000000000000000e+00    -2.274355720494077e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.931313131313134e+05
+0.000000000000000e+00    +0.000000000000000e+00    -2.274389130052953e-22    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.935353535353536e+05
+0.000000000000000e+00    +0.000000000000000e+00    -6.473102032254536e-23    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.939393939393940e+05
+0.000000000000000e+00    +0.000000000000000e+00    -6.472433841077013e-23    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.943434343434344e+05
+0.000000000000000e+00    +0.000000000000000e+00    -6.472433841077013e-23    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.947474747474747e+05
+0.000000000000000e+00    +0.000000000000000e+00    -6.472433841077013e-23    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.951515151515156e+05
+0.000000000000000e+00    +0.000000000000000e+00    -2.539126474587586e-24    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.955555555555554e+05
+0.000000000000000e+00    +0.000000000000000e+00    -2.537455996643778e-24    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.959595959595958e+05
+0.000000000000000e+00    +0.000000000000000e+00    -2.540796952531393e-24    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.963636363636367e+05
+0.000000000000000e+00    +0.000000000000000e+00    -2.542467430475201e-24    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.967676767676768e+05
+0.000000000000000e+00    +0.000000000000000e+00    -2.542467430475201e-24    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.971717171717169e+05
+0.000000000000000e+00    +0.000000000000000e+00    -2.542467430475201e-24    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.975757575757578e+05
+0.000000000000000e+00    +0.000000000000000e+00    -2.539126474587586e-24    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.979797979797981e+05
+0.000000000000000e+00    +0.000000000000000e+00    +5.318801773083469e-24    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.983838383838384e+05
+0.000000000000000e+00    +0.000000000000000e+00    +5.323813206914892e-24    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.987878787878789e+05
+0.000000000000000e+00    +0.000000000000000e+00    +5.317131295139661e-24    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.991919191919190e+05
+0.000000000000000e+00    +0.000000000000000e+00    +5.318801773083469e-24    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +9.995959595959598e+05
+0.000000000000000e+00    +0.000000000000000e+00    +5.322142728971084e-24    +1.000000000000241e+00    +0.000000000000000e+00    +0.000000000000000e+00    +1.000000000000000e+06
