#t                         m_x                       m_y                       m_z                   
+4.649999999999994e-10    +7.900606952849002e-01    +5.883992608900798e-01    -9.902685490169511e-04
+4.699999999999994e-10    +7.897140594989156e-01    +5.888612306622688e-01    -7.550840430690845e-04
+4.749999999999994e-10    +7.894771155890927e-01    +5.891767041172341e-01    -4.901267897555857e-04
+4.799999999999994e-10    +7.893561714643329e-01    +5.893392309145032e-01    -2.097388866076330e-04
+4.849999999999994e-10    +7.893516085414325e-01    +5.893489115204121e-01    +7.287062548349166e-05
+4.899999999999993e-10    +7.894586527819973e-01    +5.892113400192368e-01    +3.457892033759296e-04
+4.949999999999993e-10    +7.896682483641404e-01    +5.889365572946960e-01    +5.981906273551475e-04
+4.999999999999993e-10    +7.899679157117584e-01    +5.885383494274637e-01    +8.200456000885123e-04
+5.049999999999993e-10    +7.903424057385162e-01    +5.880341527646638e-01    +1.001802355705258e-03
+5.099999999999993e-10    +7.907740915972894e-01    +5.874454182860173e-01    +1.134377558228594e-03
+5.149999999999993e-10    +7.912431458493913e-01    +5.867981832632698e-01    +1.209388039765859e-03
+5.199999999999992e-10    +7.917276658490566e-01    +5.861232297115644e-01    +1.219800658733102e-03
+5.249999999999992e-10    +7.922039644645280e-01    +5.854555627989810e-01    +1.160768469143047e-03
+5.299999999999992e-10    +7.926471534817402e-01    +5.848329737137626e-01    +1.030720998783081e-03
+5.349999999999992e-10    +7.930318873994509e-01    +5.842941250998608e-01    +8.324266102090818e-04
+5.399999999999992e-10    +7.933334961555404e-01    +5.838759666203308e-01    +5.736576250434393e-04
+5.449999999999992e-10    +7.935295876489277e-01    +5.836107160841953e-01    +2.673708625473714e-04
+5.499999999999991e-10    +7.936019177972357e-01    +5.835230028791720e-01    -6.869201176561061e-05
+5.549999999999991e-10    +7.935382210020177e-01    +5.836274893058599e-01    -4.130118352583575e-04
+5.599999999999991e-10    +7.933340310289176e-01    +5.839268626854592e-01    -7.419261280242498e-04
+5.649999999999991e-10    +7.929942128135805e-01    +5.844103887006736e-01    -1.031569711865767e-03
+5.699999999999991e-10    +7.925338697265120e-01    +5.850535150689269e-01    -1.259871912260232e-03
+5.749999999999990e-10    +7.919783327997559e-01    +5.858187046306615e-01    -1.408341978899054e-03
+5.799999999999990e-10    +7.913620625249168e-01    +5.866575702645502e-01    -1.463532625689620e-03
+5.849999999999990e-10    +7.907265832761214e-01    +5.875139951268855e-01    -1.418210165763441e-03
+5.899999999999990e-10    +7.901177153495004e-01    +5.883277662444771e-01    -1.272109149711387e-03
+5.949999999999990e-10    +7.895821437732713e-01    +5.890388255774065e-01    -1.032155491646580e-03
+5.999999999999990e-10    +7.891634843390494e-01    +5.895918762612010e-01    -7.122774514640224e-04
+6.049999999999989e-10    +7.888983080080940e-01    +5.899409306350633e-01    -3.327845391188507e-04
+6.099999999999989e-10    +7.888126214716064e-01    +5.900532377438454e-01    +8.070442882656355e-05
+6.149999999999989e-10    +7.889190054839742e-01    +5.899126046244257e-01    +4.988741631326701e-04
+6.199999999999989e-10    +7.892147755358754e-01    +5.895217089275349e-01    +8.906610485519895e-04
+6.249999999999989e-10    +7.896815829279098e-01    +5.889028018984966e-01    +1.225513910834294e-03
+6.299999999999989e-10    +7.902865043039154e-01    +5.880967948430830e-01    +1.475904071494950e-03
+6.349999999999988e-10    +7.909845545429441e-01    +5.871606638259298e-01    +1.619859653564976e-03
+6.399999999999988e-10    +7.917222729070926e-01    +5.861635710701595e-01    +1.643301115671780e-03
+6.449999999999988e-10    +7.924420862077344e-01    +5.851818120929306e-01    +1.541678740793142e-03
+6.499999999999988e-10    +7.930871787944445e-01    +5.842927330831744e-01    +1.320789479568225e-03
+6.549999999999988e-10    +7.936064479245367e-01    +5.835680107955294e-01    +9.965604088805727e-04
+6.599999999999988e-10    +7.939589728689409e-01    +5.830670136541083e-01    +5.939196306197308e-04
+6.649999999999987e-10    +7.941173809788432e-01    +5.828313435344956e-01    +1.447299807354328e-04
+6.699999999999987e-10    +7.940700786269745e-01    +5.828807589282200e-01    -3.150383836717684e-04
+6.749999999999987e-10    +7.938221130076966e-01    +5.832111541352345e-01    -7.484994842485196e-04
+6.799999999999987e-10    +7.933946010506338e-01    +5.837948530153531e-01    -1.121182812586963e-03
+6.849999999999987e-10    +7.928227921690800e-01    +5.845832314073456e-01    -1.404040245119679e-03
+6.899999999999987e-10    +7.921529836718297e-01    +5.855112445364032e-01    -1.575929025218483e-03
+6.949999999999986e-10    +7.914385789267219e-01    +5.865033133843769e-01    -1.625213982223716e-03
+6.999999999999986e-10    +7.907355617852890e-01    +5.874800800701515e-01    -1.550478284759314e-03
+7.049999999999986e-10    +7.900977923305503e-01    +5.883653241331313e-01    -1.360286586220097e-03
+7.099999999999986e-10    +7.895724857790740e-01    +5.890925392150669e-01    -1.072141834185821e-03
+7.149999999999986e-10    +7.891964789290976e-01    +5.896102686858182e-01    -7.108341716825509e-04
+7.199999999999985e-10    +7.889936540170363e-01    +5.898856568264604e-01    -3.062157795804423e-04
+7.249999999999985e-10    +7.889735302571669e-01    +5.899062382600468e-01    +1.093805560043561e-04
+7.299999999999985e-10    +7.891310634729305e-01    +5.896800490495090e-01    +5.038661457005693e-04
+7.349999999999985e-10    +7.894477032431767e-01    +5.892340397470900e-01    +8.479824977935898e-04
+7.399999999999985e-10    +7.898935777925677e-01    +5.886109398542094e-01    +1.117610128752266e-03
+7.449999999999985e-10    +7.904304989899723e-01    +5.878650160349472e-01    +1.295575467885293e-03
+7.499999999999984e-10    +7.910154525467561e-01    +5.870570818327400e-01    +1.372792005282229e-03
+7.549999999999984e-10    +7.916042313559578e-01    +5.862492378143254e-01    +1.348608118309283e-03
+7.599999999999984e-10    +7.921549196924651e-01    +5.854997466899768e-01    +1.230349522750266e-03
+7.649999999999984e-10    +7.926309855018188e-01    +5.848584898528592e-01    +1.032175245933771e-03
+7.699999999999984e-10    +7.930036630405015e-01    +5.843635509989504e-01    +7.734281052248110e-04
+7.749999999999984e-10    +7.932534767329256e-01    +5.840392770442329e-01    +4.765748623270792e-04
+7.799999999999983e-10    +7.933709744756424e-01    +5.838956809954008e-01    +1.650204185624287e-04
+7.849999999999983e-10    +7.933566175940689e-01    +5.839290429678681e-01    -1.389295849241356e-04
+7.899999999999983e-10    +7.932198220332495e-01    +5.841237065119166e-01    -4.157476216973757e-04
+7.949999999999983e-10    +7.929772825084102e-01    +5.844548711561151e-01    -6.499095156808232e-04
+7.999999999999983e-10    +7.926509369968736e-01    +5.848918358959267e-01    -8.305860158983383e-04
+8.049999999999983e-10    +7.922658251681073e-01    +5.854012385395296e-01    -9.517434682260624e-04
+8.099999999999982e-10    +7.918480818894559e-01    +5.859498454022993e-01    -1.011767491235257e-03
+8.149999999999982e-10    +7.914231893704100e-01    +5.865066587681174e-01    -1.012698477935785e-03
+8.199999999999982e-10    +7.910145982682594e-01    +5.870441614884908e-01    -9.593411340163672e-04
+8.249999999999982e-10    +7.906428261463940e-01    +5.875386855969824e-01    -8.583060086943208e-04
+8.299999999999982e-10    +7.903249445416222e-01    +5.879701330789899e-01    -7.171587445913919e-04
+8.349999999999982e-10    +7.900743737371106e-01    +5.883214601472616e-01    -5.438283718434360e-04
+8.399999999999981e-10    +7.899008748400457e-01    +5.885783567116105e-01    -3.463782763476782e-04
+8.449999999999981e-10    +7.898107350248934e-01    +5.887291459672891e-01    -1.330762466416174e-04
+8.499999999999981e-10    +7.898069776563600e-01    +5.887650243061920e-01    +8.742350782587894e-05
+8.549999999999981e-10    +7.898894668930150e-01    +5.886807284177872e-01    +3.058713684323078e-04
+8.599999999999981e-10    +7.900548831304743e-01    +5.884755817442734e-01    +5.123488789521260e-04
+8.649999999999980e-10    +7.902966124963861e-01    +5.881546624376408e-01    +6.963762624611015e-04
+8.699999999999980e-10    +7.906046532294707e-01    +5.877297387900630e-01    +8.473031690337350e-04
+8.749999999999980e-10    +7.909655404659046e-01    +5.872197550949808e-01    +9.549378987455279e-04
+8.799999999999980e-10    +7.913623734645289e-01    +5.866506455601846e-01    +1.010352416970434e-03
+8.849999999999980e-10    +7.917750267739520e-01    +5.860544576961202e-01    +1.006789230187638e-03
+8.899999999999980e-10    +7.921806708980113e-01    +5.854677544062358e-01    +9.405690164845209e-04
+8.949999999999979e-10    +7.925546883926731e-01    +5.849293473338212e-01    +8.118664046500200e-04
+8.999999999999979e-10    +7.928719979330864e-01    +5.844776236072742e-01    +6.252025804279065e-04
+9.049999999999979e-10    +7.931087634831793e-01    +5.841476984960170e-01    +3.895757670580790e-04
+9.099999999999979e-10    +7.932443455914052e-01    +5.839685286103047e-01    +1.181942256799069e-04
+9.149999999999979e-10    +7.932633113205326e-01    +5.839601388359098e-01    -1.721866794416112e-04
+9.199999999999979e-10    +7.931572644347297e-01    +5.841312705337277e-01    -4.622786095469373e-04
+9.249999999999978e-10    +7.929262858963173e-01    +5.844777843122246e-01    -7.315609503654656e-04
+9.299999999999978e-10    +7.925798273648402e-01    +5.849820268744330e-01    -9.597578804575973e-04
+9.349999999999979e-10    +7.921368844102756e-01    +5.856133346828809e-01    -1.128387123108491e-03
+9.399999999999980e-10    +7.916253371388123e-01    +5.863296680700675e-01    -1.222280716367088e-03
+9.449999999999981e-10    +7.910803837542592e-01    +5.870803604335456e-01    -1.230969906495913e-03
+9.499999999999982e-10    +7.905421295484397e-01    +5.878098558499104e-01    -1.149859911704701e-03
+9.549999999999983e-10    +7.900524762014024e-01    +5.884621013463283e-01    -9.810600810881258e-04
+9.599999999999983e-10    +7.896515865197878e-01    +5.889851583038735e-01    -7.337738207725340e-04
+9.649999999999984e-10    +7.893742465755464e-01    +5.893356651024784e-01    -4.240892457261027e-04
+9.699999999999985e-10    +7.892464493148516e-01    +5.894828189337109e-01    -7.410184051381029e-05
+9.749999999999986e-10    +7.892825956790593e-01    +5.894113909021412e-01    +2.896384044745157e-04
+9.799999999999987e-10    +7.894836566012872e-01    +5.891234107302522e-01    +6.382686862820703e-04
+9.849999999999988e-10    +7.898365905511218e-01    +5.886383368921296e-01    +9.431571641842719e-04
+9.899999999999989e-10    +7.903151216275668e-01    +5.879917489504919e-01    +1.178601765143739e-03
+9.949999999999989e-10    +7.908818764505047e-01    +5.872326706180048e-01    +1.324325308757132e-03
+9.999999999999990e-10    +7.914916412643214e-01    +5.864197164614332e-01    +1.367501161514856e-03
+1.004999999999999e-09    +7.920953788596032e-01    +5.856163248753897e-01    +1.304018181520840e-03
+1.009999999999999e-09    +7.926445960458101e-01    +5.848854552693656e-01    +1.138868588569380e-03
+1.014999999999999e-09    +7.930955878604363e-01    +5.842842929217855e-01    +8.856442429626283e-04
+1.019999999999999e-09    +7.934131878985857e-01    +5.838593770239320e-01    +5.652417665850919e-04
+1.024999999999999e-09    +7.935736885696631e-01    +5.836425976530052e-01    +2.039506187390233e-04
+1.030000000000000e-09    +7.935666995657469e-01    +5.836485053471583e-01    -1.688822285919188e-04
+1.035000000000000e-09    +7.933957600837905e-01    +5.838732785071836e-01    -5.233818168764433e-04
+1.040000000000000e-09    +7.930777088993889e-01    +5.842953860085114e-01    -8.316864754726587e-04
+1.045000000000000e-09    +7.926409274859169e-01    +5.848777786052811e-01    -1.070249305866408e-03
+1.050000000000000e-09    +7.921226261707509e-01    +5.855713979737448e-01    -1.221724518319682e-03
+1.055000000000000e-09    +7.915654709381560e-01    +5.863196330479389e-01    -1.276289667635237e-03
+1.060000000000000e-09    +7.910138351848497e-01    +5.870633421021478e-01    -1.232285999766416e-03
+1.065000000000000e-09    +7.905100013954297e-01    +5.877459379889968e-01    -1.096146388838275e-03
+1.070000000000000e-09    +7.900906762748556e-01    +5.883179791630126e-01    -8.816400247937067e-04
+1.075000000000000e-09    +7.897841624361187e-01    +5.887408720469940e-01    -6.085003682206658e-04
+1.080000000000000e-09    +7.896084127883145e-01    +5.889894594561506e-01    -3.005305901525560e-04
+1.085000000000000e-09    +7.895701061252722e-01    +5.890533478652691e-01    +1.662604520601532e-05
+1.090000000000001e-09    +7.896648039287679e-01    +5.889368909372151e-01    +3.178313952489430e-04
+1.095000000000001e-09    +7.898780858888783e-01    +5.886579480963611e-01    +5.806739054580348e-04
+1.100000000000001e-09    +7.901874710540385e-01    +5.882456212113726e-01    +7.873338776187232e-04
+1.105000000000001e-09    +7.905648847303042e-01    +5.877371677936882e-01    +9.259028630387785e-04
+1.110000000000001e-09    +7.909793840553397e-01    +5.871743962573700e-01    +9.910293777811137e-04
+1.115000000000001e-09    +7.913998908833259e-01    +5.865998594963275e-01    +9.838208973518222e-04
+1.120000000000001e-09    +7.917976894442694e-01    +5.860532694361166e-01    +9.110791201697820e-04
+1.125000000000001e-09    +7.921484257891154e-01    +5.855685819286086e-01    +7.840098772256235e-04
+1.130000000000001e-09    +7.924334414052355e-01    +5.851720159849819e-01    +6.166134058819921e-04
+1.135000000000001e-09    +7.926404128057067e-01    +5.848810620173341e-01    +4.239807845999463e-04
