#t                         m_x                       m_y                       m_z                   
+5.299999883412454e-10    +6.127827763557434e-01    -3.828701376914978e-01    -1.380948871374130e-01
+5.349999887549473e-10    +6.308066844940186e-01    -3.118132948875427e-01    -1.465022116899490e-01
+5.399999891686491e-10    +6.374998092651367e-01    -2.279390394687653e-01    -1.524317264556885e-01
+5.449999895823510e-10    +6.331933140754700e-01    -1.368087381124496e-01    -1.565741747617722e-01
+5.499999899960528e-10    +6.179973483085632e-01    -4.304854944348335e-02    -1.596707999706268e-01
+5.549999904097547e-10    +5.914525985717773e-01    +4.834721237421036e-02    -1.613124310970306e-01
+5.599999908234565e-10    +5.565296411514282e-01    +1.315200030803680e-01    -1.606525033712387e-01
+5.649999912371584e-10    +5.211945772171021e-01    +2.047329396009445e-01    -1.575406789779663e-01
+5.699999916508602e-10    +4.898671209812164e-01    +2.731772959232330e-01    -1.514213979244232e-01
+5.749999920645621e-10    +4.601041078567505e-01    +3.439875245094299e-01    -1.422827839851379e-01
+5.799999924782639e-10    +4.293476045131683e-01    +4.212113320827484e-01    -1.314049512147903e-01
+5.849999928919658e-10    +3.975455164909363e-01    +5.015209913253784e-01    -1.196742057800293e-01
+5.899999933056677e-10    +3.629309237003326e-01    +5.718195438385010e-01    -1.073692142963409e-01
+5.949999937193695e-10    +3.211621940135956e-01    +6.182743310928345e-01    -9.540204703807831e-02
+5.999999941330714e-10    +2.695107758045197e-01    +6.353986263275146e-01    -8.443471044301987e-02
+6.049999945467732e-10    +2.114709764719009e-01    +6.233014464378357e-01    -7.485067099332809e-02
+6.099999949604751e-10    +1.577357947826385e-01    +5.901661515235901e-01    -6.845319271087646e-02
+6.149999953741769e-10    +1.175670474767685e-01    +5.524163246154785e-01    -6.517805904150009e-02
+6.199999957878788e-10    +8.925188332796097e-02    +5.209699273109436e-01    -6.230241060256958e-02
+6.249999962015806e-10    +6.219147518277168e-02    +4.980776011943817e-01    -5.801796913146973e-02
+6.299999966152825e-10    +2.651941962540150e-02    +4.842682480812073e-01    -5.307936668395996e-02
+6.349999970289844e-10    -2.115530520677567e-02    +4.738390445709229e-01    -4.994754120707512e-02
+6.399999974426862e-10    -7.765327394008636e-02    +4.605803787708282e-01    -5.091247335076332e-02
+6.449999978563881e-10    -1.360286325216293e-01    +4.523149430751801e-01    -5.572987720370293e-02
+6.499999982700899e-10    -1.926042139530182e-01    +4.566904902458191e-01    -6.001489236950874e-02
+6.549999986837918e-10    -2.499204427003860e-01    +4.727206528186798e-01    -5.985806137323380e-02
+6.599999990974936e-10    -3.123658001422882e-01    +4.980344176292419e-01    -5.773282051086426e-02
+6.649999995111955e-10    -3.802205920219421e-01    +5.207812786102295e-01    -5.929217860102654e-02
+6.699999999248973e-10    -4.454610645771027e-01    +5.224078893661499e-01    -6.537574529647827e-02
+6.750000003385992e-10    -4.985126554965973e-01    +4.973501563072205e-01    -7.361280918121338e-02
+6.800000007523010e-10    -5.364368557929993e-01    +4.495057463645935e-01    -8.249634504318237e-02
+6.850000011660029e-10    -5.611841082572937e-01    +3.819097876548767e-01    -8.880195021629333e-02
+6.900000015797048e-10    -5.777809619903564e-01    +3.009746670722961e-01    -8.987068384885788e-02
+6.950000019934066e-10    -5.905076265335083e-01    +2.163353562355042e-01    -8.808028697967529e-02
+7.000000024071085e-10    -5.969648957252502e-01    +1.360903829336166e-01    -8.681604266166687e-02
+7.050000028208103e-10    -6.016382575035095e-01    +6.854795664548874e-02    -8.625858277082443e-02
+7.100000032345122e-10    -6.113383769989014e-01    +1.569718867540359e-02    -8.596291393041611e-02
+7.150000036482140e-10    -6.229107975959778e-01    -2.680370211601257e-02    -8.501577377319336e-02
+7.200000040619159e-10    -6.341205239295959e-01    -6.994436681270599e-02    -8.194252103567123e-02
+7.250000044756177e-10    -6.470958590507507e-01    -1.192592754960060e-01    -7.529085874557495e-02
+7.300000048893196e-10    -6.632195115089417e-01    -1.674782782793045e-01    -6.710597127676010e-02
+7.350000053030215e-10    -6.813049316406250e-01    -2.090701013803482e-01    -5.899981781840324e-02
+7.400000057167233e-10    -6.969795823097229e-01    -2.398577928543091e-01    -4.945687577128410e-02
+7.450000061304252e-10    -7.038411498069763e-01    -2.588588893413544e-01    -3.838242217898369e-02
+7.500000065441270e-10    -6.973692178726196e-01    -2.690270841121674e-01    -2.629373222589493e-02
+7.550000069578289e-10    -6.823127865791321e-01    -2.716369926929474e-01    -1.289698667824268e-02
+7.600000073715307e-10    -6.680442094802856e-01    -2.661803364753723e-01    +7.516971090808511e-04
+7.650000077852326e-10    -6.597804427146912e-01    -2.543525695800781e-01    +1.293969713151455e-02
+7.700000081989344e-10    -6.554740667343140e-01    -2.392207831144333e-01    +2.289561554789543e-02
+7.750000086126363e-10    -6.548491120338440e-01    -2.236827164888382e-01    +3.015442565083504e-02
+7.800000090263381e-10    -6.621437072753906e-01    -2.091291844844818e-01    +3.450701758265495e-02
+7.850000094400400e-10    -6.774086356163025e-01    -1.942418068647385e-01    +3.618009015917778e-02
+7.900000098537419e-10    -6.966446042060852e-01    -1.767696142196655e-01    +3.595503419637680e-02
+7.950000102674437e-10    -7.170500159263611e-01    -1.565292775630951e-01    +3.522643446922302e-02
+8.000000106811456e-10    -7.349405884742737e-01    -1.350415199995041e-01    +3.562811389565468e-02
+8.050000110948474e-10    -7.477094531059265e-01    -1.138345599174500e-01    +3.754509240388870e-02
+8.100000115085493e-10    -7.564714550971985e-01    -9.421594440937042e-02    +4.013697803020477e-02
+8.150000119222511e-10    -7.629874348640442e-01    -7.586652040481567e-02    +4.289708286523819e-02
+8.200000123359530e-10    -7.674625515937805e-01    -5.734319612383842e-02    +4.537069052457809e-02
