#t                         m_x                       m_y                       m_z                   
+3.499999999999998e-10    -9.396716837494620e-01    -3.153558905234614e-01    -2.695634827907306e-04
+3.549999999999998e-10    -9.402317328905445e-01    -3.162007925409716e-01    +3.956624296153716e-03
+3.599999999999997e-10    -9.416435988429691e-01    -3.137901870182757e-01    +7.695867018121537e-03
+3.649999999999997e-10    -9.437468095747962e-01    -3.086889009415487e-01    +1.072535483239928e-02
+3.699999999999997e-10    -9.463184858817680e-01    -3.016145261284279e-01    +1.298012185472106e-02
+3.749999999999997e-10    -9.490936541064880e-01    -2.933369001770610e-01    +1.447171222001435e-02
+3.799999999999997e-10    -9.518180515858875e-01    -2.845944227117131e-01    +1.521821003049386e-02
+3.849999999999997e-10    -9.542955230983824e-01    -2.760485311976392e-01    +1.523273926582105e-02
+3.899999999999996e-10    -9.563916318333334e-01    -2.682732195229219e-01    +1.454751368949009e-02
+3.949999999999996e-10    -9.580166575798233e-01    -2.617548513253778e-01    +1.323866916112933e-02
+3.999999999999996e-10    -9.591228676872373e-01    -2.568766420583459e-01    +1.143205541736755e-02
+4.049999999999996e-10    -9.597079293436906e-01    -2.538741961385128e-01    +9.292465952592279e-03
+4.099999999999996e-10    -9.598159153817403e-01    -2.527946952507888e-01    +7.008850069907173e-03
+4.149999999999995e-10    -9.595231450763939e-01    -2.535029272221202e-01    +4.785769477415745e-03
+4.199999999999995e-10    -9.589148489521157e-01    -2.557212569774260e-01    +2.830345861195478e-03
+4.249999999999995e-10    -9.580727512009097e-01    -2.590723582085795e-01    +1.320642377521890e-03
+4.299999999999995e-10    -9.570757343313935e-01    -2.631193769010425e-01    +3.658060337399615e-04
+4.349999999999995e-10    -9.560061859943154e-01    -2.674127089015459e-01    -1.955122283925757e-05
+4.399999999999995e-10    -9.549508324571884e-01    -2.715433192306969e-01    +9.241680278164749e-05
+4.449999999999994e-10    -9.539910078174245e-01    -2.751879466818443e-01    +5.808682325709975e-04
+4.499999999999994e-10    -9.531860724136564e-01    -2.781349472666063e-01    +1.314401843510864e-03
+4.549999999999994e-10    -9.525652720673662e-01    -2.802857020199566e-01    +2.172090373124953e-03
+4.599999999999994e-10    -9.521354845580342e-01    -2.816336568646941e-01    +3.053048963231731e-03
+4.649999999999994e-10    -9.518906684837888e-01    -2.822353735092036e-01    +3.882825920837367e-03
+4.699999999999994e-10    -9.518149655644851e-01    -2.821849603773189e-01    +4.614962600446347e-03
+4.749999999999994e-10    -9.518835655470853e-01    -2.815969494249286e-01    +5.227101959601248e-03
+4.799999999999994e-10    -9.520629611076685e-01    -2.806002717849275e-01    +5.711848554774673e-03
+4.849999999999994e-10    -9.523152949982512e-01    -2.793355891226248e-01    +6.064691105255989e-03
+4.899999999999993e-10    -9.526060534777783e-01    -2.779467510036822e-01    +6.279482643353802e-03
+4.949999999999993e-10    -9.529084080520731e-01    -2.765677774173784e-01    +6.355134642705538e-03
+4.999999999999993e-10    -9.532028167887192e-01    -2.753111872456390e-01    +6.302920795600144e-03
+5.049999999999993e-10    -9.534757295312895e-01    -2.742602812111676e-01    +6.146767903267546e-03
