#t                         m_x                       m_y                       m_z                       unnamed_x                 unnamed_y                 unnamed_z             
+9.499999999999998e-11    +7.829943335127120e-01    +3.466050237819750e-02    -2.776736221708675e-02    +9.947719572171428e-01    +4.403517920009210e-02    -3.527764132791170e-02
+9.999999999999998e-11    +7.810903603398044e-01    +4.675457390851773e-02    -2.651064480891457e-02    +9.923530136327043e-01    +5.940035196317886e-02    -3.368101772249195e-02
+1.050000000000000e-10    +7.784322567811028e-01    +5.802844242571637e-02    -2.473187211943545e-02    +9.889759689129646e-01    +7.372348020339149e-02    -3.142113777953089e-02
+1.100000000000000e-10    +7.754982409827931e-01    +6.813565488091454e-02    -2.250879360828244e-02    +9.852483855662285e-01    +8.656440520850683e-02    -2.859677996883526e-02
+1.150000000000000e-10    +7.731590847553357e-01    +7.682369124957439e-02    -1.993478088549865e-02    +9.822765543293595e-01    +9.760230749325580e-02    -2.532657025651441e-02
+1.200000000000000e-10    +7.722274505258117e-01    +8.387129371160966e-02    -1.708767258664300e-02    +9.810929396258450e-01    +1.065560853110277e-01    -2.170940040784421e-02
+1.250000000000000e-10    +7.730082112151294e-01    +8.903176228406852e-02    -1.403792235368620e-02    +9.820848738018518e-01    +1.131123133733079e-01    -1.783477976448470e-02
+1.300000000000000e-10    +7.750500075953844e-01    +9.202817109481755e-02    -1.085634663693417e-02    +9.846789178383047e-01    +1.169191652619022e-01    -1.379267860573275e-02
+1.350000000000000e-10    +7.773080155965204e-01    +9.261039835814547e-02    -7.626360475653291e-03    +9.875476525692767e-01    +1.176588683855347e-01    -9.689073358646366e-03
+1.400000000000000e-10    +7.787485677859020e-01    +9.063576611791509e-02    -4.448699595215390e-03    +9.893778330183172e-01    +1.151501544723884e-01    -5.651945887717816e-03
+1.450000000000000e-10    +7.789479502412019e-01    +8.613103929558134e-02    -1.429622093223118e-03    +9.896311427382020e-01    +1.094270275914086e-01    -1.816294073772298e-03
+1.500000000000000e-10    +7.783677805397342e-01    +7.930982182719115e-02    +1.330970333147535e-03    +9.888940536881984e-01    +1.007608654479451e-01    +1.690959827720937e-03
+1.550000000000000e-10    +7.780974374767952e-01    +7.051519136671680e-02    +3.757818208187728e-03    +9.885505905412386e-01    +8.958753841131267e-02    +4.774200800476717e-03
+1.600000000000000e-10    +7.789964387977883e-01    +6.008498387891745e-02    +5.832574295377534e-03    +9.896927460656768e-01    +7.633625743425744e-02    +7.410119204052848e-03
+1.650000000000001e-10    +7.808573088284450e-01    +4.823097387731746e-02    +7.569067163990284e-03    +9.920569283378756e-01    +6.127607599301871e-02    +9.616283841099318e-03
+1.700000000000001e-10    +7.824299183812364e-01    +3.509819732854251e-02    +8.925183004652833e-03    +9.940548838987423e-01    +4.459125814445104e-02    +1.133919031856638e-02
+1.750000000000001e-10    +7.822901040482987e-01    +2.093768944566041e-02    +9.778154751721113e-03    +9.938772537784837e-01    +2.660073696322117e-02    +1.242286658283178e-02
+1.800000000000001e-10    +7.798032246111555e-01    +6.182940538424929e-03    +1.000423386910007e-02    +9.907177444191354e-01    +7.855249517800403e-03    +1.271009365007255e-02
+1.850000000000001e-10    +7.755486592481635e-01    -8.669584345382404e-03    +9.561270187967669e-03    +9.853124405336470e-01    -1.101445951572157e-02    +1.214732093359665e-02
+1.900000000000001e-10    +7.710796968187600e-01    -2.326744732431848e-02    +8.496077494516682e-03    +9.796347512933130e-01    -2.956062786613167e-02    +1.079402401288472e-02
+1.950000000000001e-10    +7.680091887540924e-01    -3.743353268044190e-02    +6.885059666533372e-03    +9.757337584171100e-01    -4.755823506795599e-02    +8.747271834404683e-03
+2.000000000000001e-10    +7.672375512885370e-01    -5.097772234159594e-02    +4.791581750552379e-03    +9.747534150365531e-01    -6.476574153572487e-02    +6.087567881595083e-03
+2.050000000000001e-10    +7.686479361312637e-01    -6.360960418808297e-02    +2.295615940670247e-03    +9.765452687325238e-01    -8.081418695855702e-02    +2.916514544970637e-03
+2.100000000000001e-10    +7.711340350656958e-01    -7.490396001788156e-02    -5.038061628378796e-04    +9.797037864854496e-01    -9.516334374480237e-02    -6.400713532828640e-04
+2.150000000000001e-10    +7.731110006099409e-01    -8.430667763224022e-02    -3.505757028692267e-03    +9.822154647947636e-01    -1.071092281580819e-01    -4.453964264740549e-03
+2.200000000000001e-10    +7.734491205968701e-01    -9.128235556793854e-02    -6.578556902071574e-03    +9.826450365895720e-01    -1.159716279175795e-01    -8.357868818512771e-03
+2.250000000000002e-10    +7.721249433769698e-01    -9.552953834487894e-02    -9.528469910401221e-03    +9.809627072183836e-01    -1.213675524381589e-01    -1.210564911693654e-02
+2.300000000000002e-10    +7.700641174698278e-01    -9.716772559439378e-02    -1.215292839756187e-02    +9.783444867110468e-01    -1.234488225913886e-01    -1.543994873337885e-02
+2.350000000000002e-10    +7.683680725619592e-01    -9.679359254666189e-02    -1.432633462818108e-02    +9.761897100539036e-01    -1.229734972304985e-01    -1.820119932910351e-02
+2.400000000000002e-10    +7.676935789984121e-01    -9.532774618052028e-02    -1.609099798394407e-02    +9.753327852287518e-01    -1.211111812516784e-01    -2.044315376620190e-02
+2.450000000000001e-10    +7.680001619490545e-01    -9.360276305060124e-02    -1.770968507585267e-02    +9.757222901188981e-01    -1.189196394092006e-01    -2.249964952564906e-02
+2.500000000000001e-10    +7.685431858075159e-01    -9.188704618741209e-02    -1.961490632206143e-02    +9.764121864353553e-01    -1.167398700941811e-01    -2.492017875160162e-02
+2.550000000000001e-10    +7.680867820425433e-01    -8.963334111416216e-02    -2.221631308625881e-02    +9.758323384758864e-01    -1.138766021103003e-01    -2.822519181182260e-02
+2.600000000000001e-10    +7.653663549026443e-01    -8.565171226217143e-02    -2.557358947554389e-02    +9.723761134246994e-01    -1.088180562735280e-01    -3.249051566123691e-02
+2.650000000000001e-10    +7.599207942342741e-01    -7.877278991524758e-02    -2.928878924296926e-02    +9.654576839899462e-01    -1.000785817285528e-01    -3.721057094888403e-02
+2.700000000000000e-10    +7.532198394106596e-01    -6.856499551103291e-02    -3.273503036477728e-02    +9.569443121048580e-01    -8.710987022741652e-02    -4.158892195227288e-02
+2.750000000000000e-10    +7.485798413608400e-01    -5.541861723993127e-02    -3.544564204451186e-02    +9.510493269894543e-01    -7.040777177877124e-02    -4.503267674141458e-02
+2.800000000000000e-10    +7.492884096900470e-01    -4.007028618175381e-02    -3.733721924198790e-02    +9.519495428320200e-01    -5.090815514902718e-02    -4.743587159279852e-02
+2.850000000000000e-10    +7.557899304474101e-01    -2.314945839902967e-02    -3.867502488922280e-02    +9.602095394269826e-01    -2.941072630348186e-02    -4.913551549201507e-02
+2.900000000000000e-10    +7.647482855936184e-01    -5.015999508216770e-03    -3.989010090865397e-02    +9.715908740047956e-01    -6.372684238727016e-03    -5.067923490131720e-02
+2.950000000000000e-10    +7.712826260537989e-01    +1.414002647957039e-02    -4.130022079154770e-02    +9.798925670956454e-01    +1.796450014277926e-02    -5.247075197338071e-02
+2.999999999999999e-10    +7.721199416440753e-01    +3.394556669901048e-02    -4.299589575671589e-02    +9.809563526594705e-01    +4.312687382107535e-02    -5.462505862887974e-02
+3.049999999999999e-10    +7.668516860391642e-01    +5.381494701853336e-02    -4.503930653062971e-02    +9.742631842482682e-01    +6.837035452478681e-02    -5.722115370640797e-02
+3.099999999999999e-10    +7.572703658004960e-01    +7.362701792565522e-02    -4.766137169733274e-02    +9.620903902974044e-01    +9.354102525542300e-02    -6.055241267750464e-02
+3.149999999999999e-10    +7.457846020120910e-01    +9.463196979210813e-02    -5.101262396055032e-02    +9.474980551617634e-01    +1.202272172048619e-01    -6.481008304665452e-02
+3.199999999999999e-10    +7.341759664440386e-01    +1.192428639437007e-01    -5.463014516980633e-02    +9.327496149363470e-01    +1.514946559284734e-01    -6.940604051350083e-02
+3.249999999999999e-10    +7.229557312639088e-01    +1.493152336581448e-01    -5.729815666293467e-02    +9.184946263204005e-01    +1.897007435061294e-01    -7.279567298119739e-02
+3.299999999999998e-10    +7.113517973470876e-01    +1.842567573868518e-01    -5.748194291266352e-02    +9.037521594087068e-01    +2.340929523128242e-01    -7.302916816695713e-02
+3.349999999999998e-10    +6.981923888278292e-01    +2.207392199048318e-01    -5.406405618748752e-02    +8.870335064016095e-01    +2.804428798790916e-01    -6.868684061536877e-02
+3.399999999999998e-10    +6.829549867294717e-01    +2.545191290828818e-01    -4.691039902204461e-02    +8.676748218498500e-01    +3.233592905469864e-01    -5.959832332329240e-02
+3.449999999999998e-10    +6.665264741207834e-01    +2.826914871250338e-01    -3.684900633995752e-02    +8.468028653842211e-01    +3.591514675136905e-01    -4.681561103240261e-02
