phi [°]		h [mT]		t [s]				Sij [dB/mm]
-85.50		8.00		9.6196868008948672645017712e-10	-4.30912685026698383250476e-02
-85.50		10.00		1.0782997762863523129166167e-09	-5.57612933465406468425130e-02
-85.50		12.00		1.1991051454138665757856116e-09	-7.57132380668342486185196e-02
-85.50		14.00		1.1856823266219205465779455e-09	-8.57506621838936000656872e-02
-85.50		16.00		9.8881431767337878486550932e-10	-8.28716307076687308530438e-02
-85.50		18.00		9.8881431767337878486550932e-10	-1.10248960604137746788211e-01
-85.50		20.00		1.0961968680089470185268381e-09	-1.41566594363794540090140e-01
-85.50		22.00		1.0961968680089470185268381e-09	-1.88039186695139998173332e-01
-85.50		24.00		1.0827740492170009893191720e-09	-2.48132521195223720855694e-01
-85.50		26.00		1.0693512304250549601115059e-09	-3.15819661348656965937920e-01
-85.50		28.00		9.4407158836689202083995565e-10	-3.89154899104964979716925e-01
-85.50		30.00		8.8143176733780931043326168e-10	-4.39582544285267440287157e-01
-85.50		32.00		1.0917225950782983421242828e-09	-4.91131214760697598631367e-01
-85.50		34.00		1.0917225950782983421242828e-09	-5.22296512415532210305003e-01
-85.50		36.00		1.0827740492170009893191720e-09	-5.32534608087523397834673e-01
-85.50		38.00		1.0738255033557036365140613e-09	-5.22520777213206555344982e-01
-85.50		40.00		1.0559284116331089309038398e-09	-4.94228577192908080650824e-01
-85.50		42.00		9.5749440715883805004762175e-10	-4.49671616041859734114183e-01
-85.50		44.00		9.4407158836689202083995565e-10	-4.04482520810931112098530e-01
-85.50		46.00		8.2774049217002395283167845e-10	-3.59124593319161800053507e-01
-85.50		48.00		9.8434004474273010846295395e-10	-2.99616695564251189765059e-01
-85.50		50.00		9.8434004474273010846295395e-10	-2.49250858059811480904600e-01
-85.50		52.00		9.7986577181208143206039858e-10	-2.04302767194455114907470e-01
-85.50		54.00		9.7539149888143275565784322e-10	-1.65868406136952917240279e-01
-85.50		56.00		9.6644295302013540285273248e-10	-1.34765813643743653793550e-01
-85.50		58.00		9.5749440715883805004762175e-10	-1.10311933208095555580819e-01
-85.50		60.00		9.4407158836689202083995565e-10	-9.17849081987306553154227e-02
-85.50		62.00		8.5011185682326785183233813e-10	-7.74197207956262983818974e-02
-85.50		64.00		8.4116331096197029223207426e-10	-6.48695768936343175603554e-02
-85.50		66.00		8.3221476510067273263181039e-10	-5.58115564241223258146185e-02
-85.50		68.00		9.7539149888143275565784322e-10	-6.39593631384173522125280e-02
-85.50		70.00		9.7091722595078407925528785e-10	-6.08926823186125149023340e-02
-85.50		72.00		9.6644295302013540285273248e-10	-5.79503181849580703555169e-02
-81.00		-72.00		1.3959731543624083374980477e-09	-1.87407311928062508821213e-01
-81.00		-70.00		1.4093959731543543667057138e-09	-2.10978930230344363661033e-01
-81.00		-68.00		1.4138702460850030431082692e-09	-2.39950052836809424317011e-01
-81.00		-66.00		1.2841163310961914274341635e-09	-2.82405088767967160645611e-01
-81.00		-64.00		1.2975391498881374566418296e-09	-3.15108885412884842658343e-01
-81.00		-62.00		1.3959731543624083374980477e-09	-3.53557833894200979063527e-01
-81.00		-60.00		1.4093959731543543667057138e-09	-3.97807066258953567761125e-01
-81.00		-58.00		1.4183445190156517195108245e-09	-4.48958889820543216586657e-01
-81.00		-56.00		1.4272930648769490723159353e-09	-5.11990770919989124365657e-01
-81.00		-54.00		1.2841163310961914274341635e-09	-5.85596368987272408723754e-01
-81.00		-52.00		1.3914988814317596610954923e-09	-7.02133955728126757378504e-01
-81.00		-50.00		1.4093959731543543667057138e-09	-8.48157591914905140129122e-01
-81.00		-48.00		1.5167785234899226003670426e-09	-1.02251837103504517045849e+00
-81.00		-46.00		1.5302013422818686295747087e-09	-1.23472252440772578552242e+00
-81.00		-44.00		1.5346756152125173059772641e-09	-1.46903098537439924520243e+00
-81.00		-42.00		1.3870246085011109846929370e-09	-1.70188215012528254455049e+00
-81.00		-40.00		1.5123042505592739239644872e-09	-1.89389398499099970152315e+00
-81.00		-38.00		1.5302013422818686295747087e-09	-2.01813803413012227139234e+00
-81.00		-36.00		1.6331096196867881868334821e-09	-2.05282090067275335698582e+00
-81.00		-34.00		1.5391498881431659823798194e-09	-1.96477211781665461742818e+00
-81.00		-32.00		1.4988814317673278947568211e-09	-1.78952745898872356278275e+00
-81.00		-30.00		1.6286353467561395104309268e-09	-1.53850288269652368811080e+00
-81.00		-28.00		1.6465324384787342160411482e-09	-1.27264967468744227829802e+00
-81.00		-26.00		1.5436241610738146587823748e-09	-1.03592256614067368403198e+00
-81.00		-24.00		1.4407158836688951015236014e-09	-8.32720129629023642081620e-01
-81.00		-22.00		1.7404921700223564204948110e-09	-7.07174393581014304466237e-01
-81.00		-20.00		1.6510067114093828924437036e-09	-5.93551362830808559856166e-01
-81.00		-18.00		1.5480984340044633351849302e-09	-5.01589783707463210404853e-01
-81.00		-16.00		1.7360178970917077440922556e-09	-4.08018057335654105166611e-01
-81.00		-14.00		1.7583892617449511261050324e-09	-3.27227389717790806411557e-01
-81.00		-12.00		1.6510067114093828924437036e-09	-2.66071222317271760537949e-01
-81.00		-10.00		1.5525727069351120115874855e-09	-2.10771699703053899677130e-01
-81.00		-8.00		1.6107382550335448048207053e-09	-1.74921234729749658365350e-01
-81.00		-6.00		1.6420581655480855396385929e-09	-1.44026561216191673064912e-01
-81.00		-4.00		1.5480984340044633351849302e-09	-9.58040736716536389661059e-02
-81.00		-2.00		1.2125279642058126049932777e-09	-1.23402346291277345557980e-02
-81.00		0.00		1.0827740492170009893191720e-09	-1.36777591007042703674657e-01
-81.00		2.00		1.2170022371364612813958330e-09	-1.43044529996741911354041e-02
-81.00		4.00		1.6420581655480855396385929e-09	-1.07554182414639584730587e-01
-81.00		6.00		1.6420581655480855396385929e-09	-1.62684013493191087507128e-01
-81.00		8.00		1.4317673378075977487184906e-09	-1.92078880358753562029861e-01
-81.00		10.00		1.5525727069351120115874855e-09	-2.39100983175312115092126e-01
-81.00		12.00		1.6510067114093828924437036e-09	-3.01737491042094185811351e-01
-81.00		14.00		1.7583892617449511261050324e-09	-3.70919274922246688941385e-01
-81.00		16.00		1.7360178970917077440922556e-09	-4.62207290152231164981345e-01
-81.00		18.00		1.5480984340044633351849302e-09	-5.67740935762111598172908e-01
-81.00		20.00		1.6510067114093828924437036e-09	-6.72148288781351799237029e-01
-81.00		22.00		1.7404921700223564204948110e-09	-8.01081454037500528819749e-01
-81.00		24.00		1.4407158836688951015236014e-09	-9.44141073056648516548250e-01
-81.00		26.00		1.5436241610738146587823748e-09	-1.17427078247054406112682e+00
-81.00		28.00		1.6465324384787342160411482e-09	-1.44231121686869734332959e+00
-81.00		30.00		1.6286353467561395104309268e-09	-1.74336808461716397111729e+00
-81.00		32.00		1.4944071588366792183542658e-09	-2.02771052757107206332421e+00
-81.00		34.00		1.5346756152125173059772641e-09	-2.22599788193492775789650e+00
-81.00		36.00		1.6331096196867881868334821e-09	-2.32628375581104362979090e+00
-81.00		38.00		1.5302013422818686295747087e-09	-2.28728657966327730832745e+00
-81.00		40.00		1.5123042505592739239644872e-09	-2.14667400354914583715527e+00
-81.00		42.00		1.2841163310961914274341635e-09	-1.92788950787084578664121e+00
-81.00		44.00		1.5346756152125173059772641e-09	-1.66509971924821886801737e+00
-81.00		46.00		1.5346756152125173059772641e-09	-1.39892619840307763645626e+00
-81.00		48.00		1.5212527964205712767695980e-09	-1.15832333243804019851098e+00
